PO_Key,Package_Original,Subpackage_Original,Reassigned_Package,Reassigned_SubPackage,purchase_order_description,po_total_amount_ordered_in_usd_currency,material_group_description,Vendor Name,VBS Category1,VBS Category 2,,
450447054210,People,Facility benefits,Travel,Business Travel,LVT Annual Cost of Innova,394178.4227,CONSULTANCY,L V Travels,Application Licenses Maintenance,TECHNOLOGY,,
450447054710,People,Facility benefits,Travel,Business Travel,Athena Cost of Innova,469260.027,CONSULTANCY,ATHENA CARS & TOURS PRIVATE LIMITED,Application Licenses Maintenance,TECHNOLOGY,,
450447055010,People,Facility benefits,Technology,Application Licenses,Move In Sync cost of Software Services,26497.54952,CONSULTANCY,MoveInSync Technology Solutions Pri,Application Licenses Maintenance,TECHNOLOGY,,
450451436610,#N/A,#N/A,#N/A,#N/A,Nagarajan Kartik Rent,13164.47904,CONSULTANCY,Johnny John,Other Services,SERVICES,,
450451436710,People,International Mobility,Leases / rentals,Lease of Real Estate,Manoj Punja Rent,14104.79897,CONSULTANCY,Manoj Punja,Lease of Real Estate,LEASES AND RENTALS,,
450451439410,People,International Mobility,Leases / rentals,Other Leases / Rentals,Nagarajan Kartik Rent,13164.47904,CONSULTANCY,N Karthik & Swapna Kartik,Other Leases/Rentals,LEASES AND RENTALS,,
450451439710,People,International Mobility,Leases / rentals,Other Leases / Rentals,Johny John Rent,14104.79897,CONSULTANCY,Johnny John,Other Services,SERVICES,,
450452595610,People,Facility benefits,Travel,Business Travel,Mahindra Cost of Innova,112838.3918,CONSULTANCY,Mahindra Logistics Limited,Local Transportation,TRAVEL,,
450452942710,Fees,Consulting (recurring),Fees,Consulting (project-based),POC project with Graymatter Sr Resource,11550.26316,CONSULTANCY,GRAYMATTER SOFTWARE SERVICES PRIVAT,Application Support,TECHNOLOGY,,
450452946410,Fees,Consulting (recurring),Fees,Consulting (project-based),POC project with Graymatter Jr Resource,10080.22966,CONSULTANCY,GRAYMATTER SOFTWARE SERVICES PRIVAT,Application Support,TECHNOLOGY,,
450453631710,#N/A,#N/A,#N/A,#N/A,Kronos Equipment,2962.13316,CONSULTANCY,Kronos systems India Private Limite,Application Licenses Maintenance,TECHNOLOGY,,
450454131310,#N/A,#N/A,#N/A,#N/A,Timesol Stamp paper invoice,551.65436,CONSULTANCY,TIMESOL FACILITY MANAGEMENT PVT LTD,Office Supplies,OFFICE UTILITIES,,
450454488410,Institutional,Internal Events,Taxes,Other Taxes,GPA Policy,10490.52259,CONSULTANCY,Bajaj Allianz General Insurance Co,Office Supplies,OFFICE UTILITIES,,
450455857810,People,Recruiting,People,Pension & Savings Benefit,GTL for GCC,48583.19645,CONSULTANCY,Kotak Mahindra Life Insurance Ltd,Health Benefits & Life Insurance,PEOPLE,,
450457856910,#N/A,#N/A,#N/A,#N/A,JLL Shift Incharge Payments,948.83692,CONSULTANCY,Jones Lang LaSalle Property Consult,Other Leases/Rentals,LEASES AND RENTALS,,
